English	Field	Amharic 
activation force	Py	ቀስቃሽ ሃይል
active	Ch	ገቢር
active (element)	Em	ገቢር (ኤለመንት)
active	Py	ገባሪ (ገቢር)
active agent	Gl	ገቢራካል (ገቢረ አካል)
active circuit	Em	ገቢር ዙር
active component	Em	ስቱፍ ምንዝር
active component	Py	ገባሪ ምንዝር
active current	Em	ገቢር ኮረንቲ
active earth pressure	Bc	ግሪታፈር
active immunity	Me	ገቢር መድህን
active immunity	Zo	ገቢር መድህን
active power (real power)	Em	ጠቀሜታዊ ጉልበት
active transport	Bt	ገቢር ሽግግር
active volcanno	Gg	ንቅ ገሞራ
active wire	Em	ገቢር ሽቦ
activity	Ch	ገቢርነት
activity	Py	ገባሪነት
actual cohort	St	ዕውን ተጠኝ
actual mass (real mass)	Ch	ዕውናዊ መጠነቁስ አካል
actuator	Em	አንቀሳቃሽ
acute	Ag	አጣዳፊ
acute	Me	አጣዳፊ
acute angle	Ma	ሹል ዘዌ (አንግል)
acute toxicity	Ag	አጣዳፊ ተነዳፊነት
acute triangle	Ma	ሹል ጎነ ሶስት
acyclic	Ch	ዝርግ
acyl	Ch	አሲል
acylation	Ch	አሲልነት
adamantine	Gl	አልማዝ መሰል
adapt (to)	Ch	ማስማማት
adapt	Me	ማስማማት
adaptation	Ag	ስምሙነት
adaptation	Bt	ስምምነት
adaptation	Ch	ስምምነት
adaptation	Gg	ስምምነት
adaptation	Zo	ተላምዶ (ስምምነት)
adapter	Ch	አስማሚ
adaptive radiation	Zo	ተላምዶአዊ ስርጭት
adaxial	Bt	ቅጠል ፊት
addendum	Em	ጥርጫ (ጥርስ ጫፍ)
addendum circle	Em	ጥርጫ ክብ
addened (term)	Ma	ተደማሪ
adder	Em	ደማሪ
addiction	Me	ሱስ
addition	Ch	ድምር
addition	Ma	መደመር
addition	py	ድምረት
addition polymer	Ch	ድምር ፖሊመር
addition reaction	Ch	ድምር አፀግብሮት
additive	Py	ድምረታዊ
additive constant	St	ድምር ኢተለዋዋጭ
additive identity	Ma	ድምራዊ መሃን
additive model	St	ድምር ሞዴል
additive process	Py	ድምረታዊ ሂደት
additive property	Ma	ድምራዊ ባህሪ
additives	Nu	ገብ
address register	Em	አድራሻ መዝገብ
adduction	Me	መሰብሰብ
adductor muscle	Zo	አቅራቢ ጡንቻ
adenoid	Me	ትናጋ ብጠት
Aden series	Gg	ኤደን ድርድሮች
adhesion	Bc	ጥማሬ
adhesion	Ch	ጥብቀት
adhesion	Me	ጥብቀት
adhesion	Py	ጥብቂያ (ጥብቀት)
adhesion soil	Ag	መጣብቅ አፈር
adhesive	Ch	መጣበቅ
adhesive	Py	መጣበቅ
adhesive label	Ch	መጣብቅ ታግ
adhesive power	Em	አቅመጥብቂያ
adhesive tape	Me	ፕላስተር
adhesiveness	Ch	መጣብቅነት
adhesivity	Py	መጣብቅነት
adiabatic (process)	Em	ደዳቢ
adiabatic	Py	አዲያባቲካዊ (ያው ግለታዊ)
adiabatic change	Gl	ያው ሙቅ መጠን ልውጥ
adiabatic heating	Gg	ዝግ ሙቀት
Adigrat sandstone	Gg	አዲግራት አሸዋ ድንጋይ
adipose	Bt	አጯሚ
adipose tissue	Bt	አጯሚ ህብረህዋስ
adipose tissue	Nu	አዲፖስ ህብረህዋሳት
adjacent angles	Ma	ጉርብት ዘዌዎች
adjustable wrench	Em	ተስተካካይ መፍቻ
adjusting screw	Bc	ልካግኝ
adminstrative machinery	Gg	አስተዳደራዊ መዋቅር
admittance	Em	አሃጅ (እልፎሽ)
admittance	Py	ግብቶሽ (እልፎሽ)
admixture	Bc	ቤቶንርሾ
adobe	Bc	ፀሃይ ጡብ
adobe	Gg	ሰጢ ጡብ (ሰጥ ፀሃይ ጡብ)
adolescent	Me	ወሬዛ (ግእዝ)
ADP (adenosin diphosphate)	Nu	ኤ.ዲ.ፒ
adrenal gland	Me	ኩላትጌ ዕጢ
adrenal gland	Zo	ኩላዕጢ
adrenalin	Zo	ኩላዕጢ ሆርሞን
adrenaline	Me	አድሬናሊን
adreno cortico trophic hormone	Me	አድሬኖ ኮርቲኮ ትሮፊክ ሆርሞን
adsorbability	Ch	ምሩግነት
adsorbable	Ch	ምሩግ
adsorbate	Ch	ምርጊት
adsorbent	Ch	ተመራጊ
adsorption	Bt	ምርገት
adsorption	Ch	ምርገት
adult	Zo	ጉልምስ
advanced	Bt	መጠቅ
advancing coast	Gg	አገምጋሚ ጠረፍ
advection	Gg	ትልልፍ (ቅዝመት)
advection	Py	ቅዝመት
advection fog	Gl	ግድሜ ጭጋግ
adventitious	Bt	ሰስሁት
adventitious root	Bt	ስሁት ስር
adz	Bc	መጠጥረቢያ
aeolian	Gl	ነፋሳዊ
aeolian deposit	Gg	ነፋሳዊ ክምቹ
aeolian deposit	Gl	ነፋስ ወለድ ክምችት
aeration	Ag	መትካየር (አየር መተካት)
aeration	Ch	አየር
aeration zone	Gl	አየራዊ ቀጠና
aerenchyman	Bt	አየር አቀፍ ህብረህዋስ
aerial	Py	አንቴና
aerial cableways	Gg	አየራዊ ካቦዎች
aerial root	Bt	አየራዊ ስር
aerial roots	Ag	ደጅ ወጥ ስሮች
aerobe	Bt	አየር
aerobic	Ag	አየራዊ
aerobic	Bt	አየራዊ
aerobic	Me	አየራዊ
aerobic respiration	Ag	አየራዊ ትንፈሳ
aerobic respiration	Bt	አየራዊ ትንፈሳ
aerobic respiration	Nu	አየራዊ ሪስፓይሬሽን
aero drome	Gg	ጥያራ ሜዳ
aerodynamics	Py	ኤሮዲናሚካ
aerography	Gg	አየር ፅፍ
aeronautics	Gg	ስነ ጥያራ
aeronomy	Py	ኤሮኖሚ
aerosol	Ch	ብናኝ
aerotropism	Bt	መፍቅደ አየር
afferent	Me	አምጤ
afferebt	Zo	አምጤ
afferent neuron	Zo	አምጤ ህዋስ ነርቭ
affinity	Ch	ውደታ
affluent	Gg	ተደዳባይ
(af) forestation	Ag	ደን ማልበስ
afforestation	Bt	ማማነን (ደን ማድረግ)
afforestation	Gg	ድነና
aflatoxin	Nu	አፍላቶክሲን
afro-alpine	Gg	አፍሮ አልፓዊ
afro-alpine vegetation	Bt	አፍሮ አልፓይን እፀት
after birth	Ag	እንግዴ ልጅ
after burning	Em	ድህረንደት
afterglow	Gg	ወግግ
after shock	Gl	ድህረ ርእደ ምድር
after shock	Py	ድህረ ክውታ
agar	Bt	አጋር
agar	Ch	አጋር
agate	Ch	አጌት
age	Gl	ዕድሜ
age	Me	ዕድሜ
age-distribution	St	ዕድሜ ስርጭት
age heaping	St	ዕድሜ ቁልል
agent	Be	ተወካይ
agent	Ch	አድራጊ
age-ratio	St	ዕድሜ ውድር
age-specific	St	ዕድሜ ጠቃሽ
age-specific birthrate	St	ዕድሜ ጠቃሽ ልደት ምጣኔ
age-specific death rate	St	ዕድ ጠቃሽ ሞት ምጣኔ
age-specific mortality	St	ዕድሜ ጠቃሽ ሙተት
age structure	Gg	ዕድሜ ወቅር
agglomerate	Gg	ውግሮ ድንጋይ
agglomerate	Gl	ድቡልቡል ትፍ ኮረት
agglomeration	Gg	ክትምትም
agglutination	Me	ተጣብቆት
agglutination	Nu	መጓጎል
aggglutination	Zo	ተጣብቄ
agglutinin	Zo	አጣብቄ
agglutinogen	Zo	አጣብቄ ወለድ
aggradation	Gg	ግንብትባታ
aggradation	Gl	መሬት ግንባታ
aggradation	Gg	እድግ ሸለቆ
aggregate	Bc	አግረገት
aggregate soil	Ag	ድሙራፈር (ድሙር አፈር) ብስለት
aging	Ch	ብስለት
aging (of population)	Gg	ግርጀፋ (የህዝብ)
agonic line	Gg	ኢምግነጣ መስመር
agrarian	Gg	ግብርናማ
agricultural density	Gg	ግብርና ዝፈት
agriculture	Ag	ግብርና ዝፈት
agroechology	Ag	ግብረ አካባቢ ጥናት (የግብር አካባቢ ጥነት)
agribinustm	Gg	አዝመራ ጠቢብ
agronomy	Ag	ዘራልማ ጥገና (ዘር የማልማት ጥናት)
air	Me	አየር
air bladder (swim bladder)	Zo	አየር ፊኛ
airborne	Py	አዝለ አየር (አየር ወለድ)
air brake	Em	አየር ፍሬን
air brick	Bc	አናፋሽ ሸክላ
air condensor	Ch	አየር ማጤዣ
air conditioning	Em	አየር ማጤዣ
air-cooled engine	Em	አየር ቀቀዞ ሞተር
air-core coil	Em	ባላየር ድርቆሽ
air current	Gg	አየር ሞገድ
air drying	Bc	አየር ድርቆሽ
air entraining agent	Bc	አየር ፍጠራ ጥምድ
air gap	Gp	አየር ፍንጭ
air glow	Py	ፍመተ አየር
air layering	Ag	ቅርንጫፍ ማዛመት
air mass	Gg	አየር ግዘፍ
air mass	Gl	አየር ሰብሰብ
air mass	Py	የአየር ሰርፈት
air pollution	Bt	አየር ብከላ
air pollution	Gl	ጉድፋየር (ጉድፍ አየር)
air pressure	Gg	አየር ግፊት
air pump	Py	የአየር ፓምፕ
air sac	Zo	አየር ከረጢት
air space (chamber)	Zo	አየር ጓዳ
air stream	Gg	አየር ፍሴት
air survey	Bc	አየራይንፎቶ
air terminal	Py	የአየር ተርሚናል
air-tight	Ch	ላየር-ዝግ
alanine	Nu	አላኒን
alba (white matter)	Me	ነጭ አንጎል
albedo	Gg	ፅብርቅ
albedo	Py	አልዶ (ቋሚ ዕብረቃ)
albinisim	Zo	ሻሾት
albino	Zo	ሻሾ
albite	Gl	አልቢት
albumen	Ag	ፊሳሽስኳል
albumen	Zo	እንቁጭ (እንቁላል ነጭ)
alcohol	Ch	አልኮል
alcohol	Me	አልኮል
alcoholic beverages	Nu	አልኮል ነክ መጠጥ
alcove	Be	ጓዳ
alfisol	Gl	ወይናደጋዊ አፈር
algae	Bt	ዋቅላሚ (ውሃ አቅላሚ)
algal bloom	Bt	ግሽበተ ዋቅላሚ
algebra	Ma	አልጀብራ
algebraic	Ma	አልጀብራዊ
algebraically closed field	Ma	አልጀብራዊ ዝግ መስክ
algebraically embeded	Ma	አልጀብራዊ ሰግሰግ
algebraic closure	Ma	አልጀብራዊ ድምድም
algebraic closure of field	Ma	የመስክ አልጀብራዊ ድምድም
algebraic equation	Ma	አልጀብራዊ እኩልታ
algebraic extention	Ma	አልጀብራዊ ዝርገት
algebraic plane curve	Ma	አልጀብራዊ ጠለል ኩርባ
algorithm	Em	ስልት
algorithm	Ma	አልጎሪዝም (ስልተ አሰራር)
alldade	Bc	አሊዳድ
alidade	Gg	አሊዳድ
alignment	Bc	መስመር ቅምጥ
alimentary canal	Ag	ምግብ ቀለብ
alimentary canal	Zo	ምግብ ቦይ
aliphatic	Ch	አሊፋቲክ
alkali	Ch	አልካሊ
alkali metal	Ch	አልካሊ ብረት አስተኔ
alkalimetry	Ch	አልካሊ ምተራ
alkaline	Gl	አልካሊን
alkaline	Me	አልቃሊ (ዐረብኛ)
alkaline rock	Gl	አልካሊን ድንጋይ
alkaline soil	Ag	አምቧፈር (አምቦ አፈር)
alkalosis	Me	ደም አልካዊነት
alkane	Ch	አልኬን
alkene	Ch	አልኪን
alkoxide	Ch	አልክሳይድ
alkyl	Ch	አልኪል
alkyl group	Ch	አልኪል-አካል
alkylating Agent	Ch	አልካይ
alkylation	Ch	አልኪልነት
alkyne	Ch	አልካይን
allele (allelomorph)	Zo	ቅንጅብራሂ
Allen key (hexagonal socket wrench)	Em	አለን መፍቻ
allergen	Me	አለርጀን
allergy	Me	አለርጂ
alligator clip	Em	አዞ ጥርስ መያዣ
allocation of a sample	St	ነናና ምደባ
allochtonous	Gl	መጤ
allotrimorphic	Gl	ኩስስ ኢኒን
allotrope	Ch	ካልፎርም (ካልእ-ፎርም)
allotropy	Ch	ካልፎርምነት
allowable (adj.)	Py	ፍቅዳዊ
alloy	Ch	ቅርጥ ብረት አስተኒ
alloy	Em	ቅይጥ
alloy steel	Bc	ቅይጥ ከሰል ብረት
alluvial fan	Gg	ዋገምቶ ደለል
alluvial fan	Gl	ቅርጸ ሙሬ ደለል
alluvial plain	Gg	ስታቶ ደለል
alluvial soil	Ag	ደለላፈር
alluvium	Gg	ደለል
almagest	Py	አልማጌስት
almanac	Gg	አውድ
alpha	Py	አልፋ
alpha decay	Py	የአልፋ ብስብሰት
alpha particle	Py	አልፋ እኑስ
alpine meadows	Gg	ከፍታዊ ሳር ሜዳ
alpine period	Gg	አልፓዊ ወቅት
alpine system	Gl	ሰርዓተ ተራራ
alping glacier	Gl	ሸለቆ በረዶ
alternate angles	Ma	ፍርቅ ዘዌዎች
alternate exterior angles	Ma	ፍርቅ ውጫዊ ዘዌዎች
alternate host	Bt	ተለዋዋጭ አስተናጋጅ
alternate interior angles	Ma	ፍርቅ ውስጣዊ ዘዌዎች
alternate leaves	Bt	እንዳለፍ ቅጠል
alternating	Py	ተቀያያሪ
alternating current (AC)	Em	ተለዋዋጭ ኮረንቲ (ተኮ)
alternating current	Py	ተቀያያሪ ዥረት
alternating series	Ma	ተፈራራቂ ልጥጥቅ
alternation	Bt	ቅብብል
alternation of generation	Bt	ትውልድ ቅብብል
alternative hypothesis	St	አማራጭ መንደርድር
alternator	Py	ቀያያሪ
altimeter	Gg	ከፍታ ሜትር
altimerter	Gl	ከፍታ መለኪያ
altimeter	Py	አልቲሜትር (ከፍታ ሜትር)
altiplano	Gg	ከፍታጌ (ከፍታ ቦታ)
altitude	Gg	ከፍታ
altitude (of a triangle etc.)	Ma	ከፍታ (የጎነ ሶስት፣ ወዘተ.)
altitude	Py	ከፍታ
alto-cumulus	Gg	ስቅል ቁልል ደመና
alto-stratus	Gg	ስቅል ድርብርብ ደመና
alum	Ch	አሉም
aluminium	Gl	አሉምንም
aluminium foil	Ch	አሉምንም ቅጠል
alumino silcate	Gl	አሉምኖ ሲሊኬት
alveolus	Ag	ነቃሊብ (ነቅአተ ሃሊብ)
alveolus	Me	ዋሽት
alveolus	Zo	ትረከረት
amalgam	Ch	ቅጥር ባዜቃ
amalgam	Py	ድብልቅ
amalgamation	Py	ድብልቀት
amber	Gl	አምኒት
amber	Py	አምበር
ambient	Py	ከባቢያዊ
ambient temperature	Em	የአካባቢ ሙቀት
ambiguous	Ma	አሻሚ
amendment soil	Ag	ማሻሻል (ለአፈር)
amenorrphoea	Me	አደፍ ቅሪት
amensal	Bt	ማድዋስ (ማዕድ ህዋስ)
amensalism	Bt	ማድዋስነት (ማዕድ ህዋስነት)
amine	Bt	አሚን
amino acid	Bt	አሚኖ አሲድ
amino-acid	Me	አሚኖ አሲድ
ammeter	Py	አሜትር
ammonia soultion	Ch	አሞኒያ ሙሙት
ammonite	Gl	ቅርፀ ቢስ
ammonolysis	Ch	አሞናዊ ፍርሰት
amnion	Me	ሰፋደል፣ ክርታስ ገበር
amnion	Zo	ገበር ሰፍደል
amniotic fluid	Me	ሽንት ውሃ
amniotic fluid	Zo	እርሽርት ውሀ
amniotic pouch (amniotic cavity)	Zo	ሽል ከረጢት
amoeba	Me	አሚባ
amoebiasis	Me	አሚባ በሽታ
amorphous	Ch	ቅርፃልባ
amorphous	Gl	አምፈቢን
amorphous	Py	ቅርፅ አልባ
amount	Ch	መጠን
amount	Ma	ጥቅል
ampere	Py	አምፔር
Ampere's theorem	Py	አምፔር ቴዎራ
amperometry	Ch	አምፒሮ ሜትሪ
amphiarthrosis	Zo	ውሱነ ቅስቃሴ ጋጥሞ
amphibia	Zo	እንቁራሪት አስተኔ
amphibian	Gl	አምፊናል
amphibol	Gl	አምፈናሌት
amphibolite	Gl	አምፈናሊት
amphiprotic	Ch	ፕሮቶን ለዋጭ
amphoteric	Ch	አሲዳ ቤዛማ
amphoteric oxide	Ch	አሲዳቤዛማ ኦክሳይድ
amplification	Py	ገነና
amplifier	Em	አጉሉ (እጉይ)
amplifier	Py	አግናኝ
amplify	Py	ማግነን
amplitude	Em	ልከርግብግብታ
amplitude	Py	ግነት
amplitude (of a funcation)	Ma	የቅን ተዛምዶ)
amplitude (argument) of a complex number	Ma	የድርብ ቁጥር አቅጣጫ
ampoule	Ch	አምፑል
ampoule	Me	አምፑል
amp-turn	Py	አምፕ-ዙር
ampulla	Me	ብርሊት
ampulla	Zo	ብርሊት
amylase	Nu	አሚሌዝ
amylase	Zo	አሚሌዝ
anabatic wind	Gg	ሽቅቤ ነፋስ
anabolism	Ag	ግነንባታካል
anabolism	Bt	ግንቢያ
anabolism	Me	ግንባታ
anaemia (anemia)	Me	ሰሃ ደም
anaemia	Zo	ሰሃደም
anaerobe	Bt	አየር አይሼ
anaerobe	Me	ኢአየራዊ
anaerobic	Bt	አየር አልባ
anaerobic respiration	Bt	አየር አልባ ትንፈሳ
anaerobic respiration	Nu	አየር አልባ ሪስፓይሬሽን
anaesthesia	Me	ሰመመን
anal fin	Zo	ቱሊጌ ክንፈ-ዓሣ
analemma	Gg	ጣይላንሴታ (ላንሴታ = ሚዛን ምላስ)
analgestic	Me	ማስታገሻ
analog	Em	አምሳል
analog	Py	አምሳያ
analog to digita convertor (ADC)	Em	አምሳላዊ ወደ አሃዛዊ ለዋጭ (ምሃለ)
analogous	Zo	ምስል
analogous organs	Zo	ምስል አባላት
analogy	Zo	ምስለት
analyse	Py	መተንተን
analysis	Ch	ትንተና
analysis	Ma	ትንተና
analysis	Puy	ትንተና
analysis of covariance	St	ትይይዝ ልይይት ትንተና
analysis of covariance model	St	አበር-ልይይት ትንተና ሞዴል
analysis of variance	St	ልይይት ትንተና
analysis of variance model	St	ልይይት ትንተና ሞዴል
analytic	Ma	ትንተናዊ
analytic (function)	Ma	ትንተናዊ (ቅንተዛምዶ)
analytic (geometry)	Ma	ትንተናዊ (ጆሜትሪ)
analytic (analytical)	Py	ትንተናዊ
analytical balance	Ch	ትንተናዊ ሚዛን
analytical balance	Py	ትንተናዊ ሚዛን
analytic survey	St	ተንታኝ ቅንቀና
analyze (to)	Ch	መተንተን
analyzer	Em	ተንታኝ ቅንቀና
anaphase	Zo	ዋልቴ ደረጃ
anatomy	Me	አናቶሚ
anatomy	Zo	ስነብልት፣ ብልት
ancestor	Ag	ዘርግንድ (ዘር ግንድ)
anestor wor ship	Gg	ዝርያ አምልኮ
anchor	Em	መልህቅ
anchor	Gg	መልህቅ
anchor bolt	Bc	አሳሪ ብሎን
andalusite	Gl	አንዳሉሲት
andesite	Gl	አንደሲት
and gate	Em	እና ኬላ
anadroecium	Bt	ወፅጎች (ወንዴ ፅጌዎች)
androgen	Me	አንድሮጅን
androgen	Zo	ተባዕቶርሞን
anemia	Nu	ደም ማነስ
anemogram	Gg	ክንፈት ምዝግብ
anemograph	Gg	ክንፈት ሜትር
anemo-meter	Gl	ነፋስ ሜትር
anemometer	Gl	ነፋስ መለኪያ
anemometer	Py	ነፋስ ሜትር
anerobic respiration	Ag	አየር አልባ ትንፈሳ
aneroid barometer	Gg	ፈሳሽ አልባ ግፊት ሜትር
aneroid barometer	Py	ደረቅ ባሮ ሜትር
angiosperm	Bt	ክንንብ ዘር
angiosperm	Gl	ክንንብ ዘር
angle	Em	ልከማእዘን
angle	Ma	ዘዌ (አንግል)
angle	Py	ዘዌ (አንግል)
angle dozer	Em	መቅነገፊ (አፈር በመቅን የሚገፋ)
angle iron	Em	ዘዌ ብረት
angle measurements system	Ma	ዘዌ መለኪያ ስርዓተ መዋቅር
angle of depression	Ma	(የ) እርደት ዘዌ
angle of deviation	Py	(የ) ዝባት ዘዌ
angle of dip	Py	የቁልቆላ ዘዌ
angle of elevation	Ma	የንሳት ዘዌ
angle of friction	Bc	የሰበቃ ማእዘን
angle of friction	Em	ሰበቃ ዘዌ
angle of friction	Py	ሰበቃ ዘዌ
angle of incidence	Py	የውድቂያ ዘዌ (የእርፈት ዘዌ)
angle of reflection	Py	የፅብረቃ ዘዌ
angle of relief (relief angle)	Em	ሰለት ዘዌ
angle of repose	Gl	አርፈቶ ማእዘን
angstrom	Py	አንግስትሮም
angular unit	Py	አንግስትሮም አሀድ
angular	Py	ዘዌያዊ
angular acceleration	Py	ዘዌያዊ ሽምጠጣ ዘዌያዊ ጥድፈት
angular diameter	Py	ዘዌያዊ ገማዘንግ
angular momentum	Py	ዘዌያዊ አንድርድረት
angularity	Gl	ሱለት
angular uncon formity	Gl	ማእዘናዊ ኪላፍ
angular velocity	Py	ዘዌያዊ ፍጥነት
anhydride	Ch	ውሃ ቢስ
anhydrite	Gl	ውሃ አልባ ጀሶ
anhydrous	Ch	ውሃ ቢቢማ
anidiuretic hormone	Me	ሸንተከል ሆርሞን
animal (s)	Ag	እንስሳ (ት)
animal	Zo	እንሰሳ
animal community	Bt	ዘውገ-እንሰሳ
animal fet	Nu	እንሰሳ ቅባት
animal kingdom	Ag	ጉንደንስሳ (ጉንደ እንሰሳ)
animal kingdom	Bt	ሰፍነ- እንስሳ
animal pole	Zo	ህየ ጫፍ
animal products	Nu	አንሰሳት ውጤት
anion	Ch	አናዮን
anion	Me	አናዮን
anion	Py	አልአየን
anise	Nu	እንስላል
anisotropic	Gl	ኢያውባህሪ
anisotropic	Py	ኢያውባህሪያዊ (ኢአይሶትሮፒክ)
ankle	Me	ቁርጭምጭሚት
ankylosis	Me	ድግን
anneal	Em	ማነል
annealed	Em	እንል
annealing	Em	አነሳ
annihilate	Py	መደምሰስ
